"Country","Code","ChildMortalityPct","GDPPerCapita","Population","Continent"
"Lesotho","LSO",9.35,2767,2075000,"Africa"
"Liberia","LBR",6.74,829,4587000,"Africa"
"Libya","LBY",1.29,8096,6492000,"Africa"
"Liechtenstein","LIE",NA,NA,38000,"Europe"
"Lithuania","LTU",0.53,24743,2890000,"Europe"
"Luxembourg","LUX",0.24,57006,579000,"Europe"
"Macao","MAC",0.3668,NA,613000,"Asia"
"Madagascar","MDG",4.64,1381,24894000,"Africa"
"Malawi","MWI",5.51,1112,17205000,"Africa"
"Malaysia","MYS",0.83,23053,30685000,"Asia"
"Maldives","MDV",0.85,NA,476000,"Asia"
"Mali","MLI",11.06,1594,17965000,"Africa"
"Malta","MLT",0.68,29817,436000,"Europe"
"Marshall Islands","MHL",3.54,NA,58000,"Oceania"
"Martinique","MTQ",0.6472,NA,377000,"North America"
"Mauritania","MRT",8.14,3407,4164000,"Africa"
"Mauritius","MUS",1.37,18918,1262000,"Africa"
"Mayotte","MYT",0.4235,NA,246000,"Africa"
"Mexico","MEX",1.46,16133,123333000,"North America"
"Micronesia (country)","FSM",3.33,NA,110000,"Oceania"
"Moldova","MDA",1.59,6068,4066000,"Europe"
"Monaco","MCO",0.34,NA,38000,"Europe"
"Mongolia","MNG",1.79,12360,3056000,"Asia"
"Montenegro","MNE",0.38,17741,627000,"Europe"
"Montserrat","MSR",NA,NA,5000,"North America"
"Morocco","MAR",2.71,8039,35126000,"Africa"
"Mozambique","MOZ",7.13,1113,27830000,"Africa"
"Myanmar","MMR",5.08,5284,53045000,"Asia"
"Namibia","NAM",4.52,9376,2358000,"Africa"
"Nauru","NRU",3.46,NA,10000,"Oceania"
"Nepal","NPL",3.45,2435,27263000,"Asia"
"Netherlands","NLD",0.38,45600,16981000,"Europe"
"New Caledonia","NCL",1.3789,NA,274000,"Oceania"
"New Zealand","NZL",0.54,34295,4659000,"Oceania"
"Nicaragua","NIC",1.97,5045,6304000,"North America"
"Niger","NER",9.13,925,20789000,"Africa"
"Nigeria","NGA",10.43,5360,185960000,"Africa"
"Niue","NIU",2.22,NA,2000,"Oceania"
"North Korea","PRK",2,1742.02,25308000,"Asia"
"North Macedonia","MKD",1.22,12644,2081000,"Europe"
"Northern Mariana Islands","MNP",NA,NA,56000,"Oceania"
"Norway","NOR",0.26,82814,5251000,"Europe"
"Oman","OMN",1.07,38515,4479000,"Asia"
"Pakistan","PAK",7.88,5223,203631008,"Asia"
"Palau","PLW",1.59,NA,18000,"Oceania"
"Palestine","PSE",1.94,5321.38,4636000,"Asia"
"Panama","PAN",1.64,21449,4037000,"North America"
"Papua New Guinea","PNG",5.43,NA,8272000,"Oceania"
"Paraguay","PRY",1.99,8786,6778000,"South America"
"Peru","PER",1.53,11776,30926000,"South America"
"Philippines","PHL",2.71,7410,103664000,"Asia"
"Poland","POL",0.47,24838,37989000,"Europe"
"Portugal","PRT",0.35,25346,10326000,"Europe"
"Puerto Rico","PRI",0.6479,35082,3283000,"North America"
"Qatar","QAT",0.85,156299,2654000,"Asia"
"Reunion","REU",0.4239,NA,870000,"Africa"
"Romania","ROU",0.9,17782,19796000,"Europe"
"Russia","RUS",0.77,23635,145275008,"Europe"
"Rwanda","RWA",3.85,1758,11669000,"Africa"
"Saint Helena","SHN",NA,NA,6000,"Africa"
"Saint Kitts and Nevis","KNA",0.93,NA,52000,"North America"
"Saint Lucia","LCA",1.33,10233,180000,"North America"
"Saint Martin (French part)","MAF",NA,NA,36000,"North America"
"Saint Pierre and Miquelon","SPM",NA,NA,6000,"North America"
"Saint Vincent and the Grenadines","VCT",1.66,NA,109000,"North America"
"Samoa","WSM",1.73,NA,195000,"Oceania"
"San Marino","SMR",0.28,NA,34000,"Europe"
"Sao Tome and Principe","STP",3.38,3624,203000,"Africa"
"Saudi Arabia","SAU",1.29,51397,32443000,"Asia"
"Senegal","SEN",4.71,2403,14994000,"Africa"
"Serbia","SRB",0.58,13184,8854000,"Europe"
"Seychelles","SYC",1.43,26624,96000,"Africa"
"Sierra Leone","SLE",11.35,1619,7329000,"Africa"
"Singapore","SGP",0.28,65729,5654000,"Asia"
"Sint Maarten (Dutch part)","SXM",NA,NA,41000,"North America"
"Slovakia","SVK",0.59,25364,5442000,"Europe"
"Slovenia","SVN",0.23,26908,2074000,"Europe"
"Solomon Islands","SLB",2.58,NA,619000,"Oceania"
"Somalia","SOM",13.25,NA,14186000,"Africa"
"South Africa","ZAF",4.33,12139,56208000,"Africa"
"South Korea","KOR",0.34,36103,50983000,"Asia"
"South Sudan","SSD",9.07,NA,10833000,"Africa"
"Spain","ESP",0.33,30110,46634000,"Europe"
"Sri Lanka","LKA",0.94,11149,21021000,"Asia"
"Sudan","SDN",6.51,3651,39847000,"Africa"
"Suriname","SUR",2,NA,565000,"South America"
"Sweden","SWE",0.29,44659,9836000,"Europe"
"Switzerland","CHE",0.41,59662,8380000,"Europe"
"Syria","SYR",1.9123,3091,17466000,"Asia"
"Taiwan","TWN",NA,42165,23618000,"Asia"
"Tajikistan","TJK",4.31,3991,8664000,"Asia"
"Tanzania","TZA",5.67,2660,53049000,"Africa"
"Thailand","THA",1.22,15454,68971000,"Asia"
"Timor","TLS",4.97,NA,1219000,"Asia"
"Togo","TGO",7.57,1400,7510000,"Africa"
"Tokelau","TKL",NA,NA,1000,"Oceania"
"Tonga","TON",1.64,NA,101000,"Oceania"
"Trinidad and Tobago","TTO",1.85,29178,1378000,"North America"
"Tunisia","TUN",1.36,11073,11304000,"Africa"
"Turkey","TUR",1.27,17906,79828000,"Asia"
"Turkmenistan","TKM",5.1,23813,5662000,"Asia"
"Turks and Caicos Islands","TCA",NA,NA,37000,"North America"
"Tuvalu","TUV",2.53,NA,11000,"Oceania"
"Uganda","UGA",5.3,1980,39649000,"Africa"
"Ukraine","UKR",0.91,9214,44714000,"Europe"
"United Arab Emirates","ARE",0.77,75876,9361000,"Asia"
"United Kingdom","GBR",0.43,37334,66298000,"Europe"
"United States","USA",0.65,53015,323016000,"North America"
"United States Virgin Islands","VIR",0.9983,NA,105000,"North America"
"Uruguay","URY",0.92,19468,3424000,"South America"
"Uzbekistan","UZB",2.41,10381,31442000,"Asia"
"Vanuatu","VUT",2.76,NA,278000,"Oceania"
"Vatican","VAT",NA,NA,1000,"Europe"
"Venezuela","VEN",1.63,15219,29851000,"South America"
"Vietnam","VNM",2.16,6062,93640000,"Asia"
"Wallis and Futuna","WLF",NA,NA,12000,"Oceania"
"Western Sahara","ESH",3.6388,NA,539000,"Africa"
"Yemen","YEM",5.53,2506,27168000,"Asia"
"Zambia","ZMB",6.34,3479,16363000,"Africa"
"Zimbabwe","ZWE",5.64,1534,14030000,"Africa"
