"Breed","DeSexed","Dangerous","Menacing","Sex","MicroChipped"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Male","No"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","No","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Male","No"
"All pure and cross breeds","No","No","Yes","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Male","Yes"
"All pure and cross breeds","Yes","No","No","Female","Yes"
"All pure and cross breeds","Yes","No","No","Female","No"
"All pure and cross breeds","Yes","No","No","Male","No"
